externalId,subjectCode,chapterName,topic,difficulty,questionType,year,tags,contentClassification,sourceType,sourceName,exam,examYear,paperSession,licenseReference,reviewer,reviewDate,correctOption,en_questionText,en_optionA,en_optionB,en_optionC,en_optionD,en_explanation,ta_questionText,ta_optionA,ta_optionB,ta_optionC,ta_optionD,ta_explanation,ta_reviewed
SIV-NEET-PHY-0001,PHYSICS,Laws of Motion,Newton second law,EASY,SINGLE_CORRECT,,force,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,Force equals,A,mass divided by acceleration,mass times acceleration,velocity times time,Newton second law gives F = ma,,,,,,,
SIV-NEET-PHY-0002,PHYSICS,Laws of Motion,Inertia,MEDIUM,SINGLE_CORRECT,,inertia,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,A passenger falls backward when a bus starts because of,inertia of rest,inertia of motion,gravity,friction,The body tends to remain at rest,,,,,,,
SIV-NEET-PHY-0003,PHYSICS,Laws of Motion,Friction,HARD,SINGLE_CORRECT,,friction,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,The limiting friction is proportional to,normal reaction,speed,coefficient times normal reaction,mass only,Limiting friction is mu N,,,,,,,
SIV-NEET-PHY-0004,PHYSICS,Laws of Motion,Impulse,MEDIUM,SINGLE_CORRECT,,impulse,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,Impulse has the same unit as,force,energy,power,momentum,Impulse equals change in momentum,,,,,,,
SIV-NEET-PHY-0005,PHYSICS,Thermodynamics,First law,EASY,SINGLE_CORRECT,,heat,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,The first law of thermodynamics expresses conservation of,charge,energy,mass,momentum,Heat supplied changes internal energy and work,,,,,,,
SIV-NEET-PHY-0006,PHYSICS,Thermodynamics,Isothermal process,MEDIUM,SINGLE_CORRECT,,gas,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,In an isothermal process temperature remains,constant,zero,increasing,decreasing,Isothermal means constant temperature,,,,,,,
SIV-NEET-PHY-0007,PHYSICS,Thermodynamics,Ideal gas,HARD,SINGLE_CORRECT,,gas,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,C,For an ideal gas internal energy depends on,pressure,volume,temperature only,container shape,Ideal gas internal energy is a function of temperature,,,,,,,
SIV-NEET-PHY-0008,PHYSICS,Thermodynamics,Heat capacity,MEDIUM,SINGLE_CORRECT,,heat,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,D,The SI unit of heat capacity is,J per kg,J per mol,K per joule,J per kelvin,Heat capacity is energy per temperature rise,,,,,,,
SIV-NEET-PHY-0009,PHYSICS,Electrostatics,Coulomb law,EASY,SINGLE_CORRECT,,charge,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,A,Electrostatic force between point charges varies inversely as,distance squared,distance,distance cubed,charge squared,Coulomb law has inverse square dependence,,,,,,,
SIV-NEET-PHY-0010,PHYSICS,Electrostatics,Electric field,MEDIUM,SINGLE_CORRECT,,field,PRODUCTION,INTERNALLY_AUTHORED,SIVORA,NEET,,,,,,B,Electric field direction is the force direction on,a negative charge,a positive test charge,a neutral particle,an electron only,Field is defined using positive test charge,,,,,,,
